word1,word2,n
snowd_f,g1_f,13
water,vapor,13
albedo,total,12
battery,voltage,12
body,temperature,12
cm,corrected,12
corrected,tram,12
count,normalized,12
cs616_1,cs616_2,12
datalogger,panel,12
decagon,probe,12
depth,utm,12
detector,sensor,12
detrital,particulate,12
downwelling,wave,12
easting,utm,12
gram,ng,12
habitat,type,12
index,standardized,12
index,tram,12
infrared,detector,12
mv,output,12
net,radiation,12
net,short,12
northing,depth,12
panel,temperature,12
particulate,organic,12
qc_ta_gf,tsoil_f,12
qc_tsoil_gf,pa_1,12
radiation,albedo,12
radiation,cnr4,12
radiation,upwelling,12
rotation,count,12
sensor,body,12
speed,downwelling,12
speed,net,12
standardized,normalized,12
target,temperature,12
temperature,microcat,12
temperature,mv,12
temperature,time,12
thermopile,infrared,12
time,record,12
top,depth,12
total,net,12
transect,cm,12
transect,file,12
tsoil_f,tsoil_gf,12
tsoil_gf,qc_tsoil_gf,12
upwelling,short,12
utm,easting,12
utm,northing,12
vaisala,probe,12
voltage,datalogger,12
wd,cs616_1,12
wheel,rotation,12
conductance,profile,11
gpp_f,gpp_fqc,11
liquid,water,11
longitude,habitat,11
organic,carbon,11
time,sami,11
bottom,depth,10
depth,bottom,10
depth,gas,10
eastward,velocity,10
melt,layer,10
meter,water,10
northward,velocity,10
ratio,acetylene,10
ratio,error,10
sami,co2,10
site,plot,10
temperature,measurement,10
type,station,10
conductivity,potential,9
data,package,9
date,day,9
datetime,temperature,9
equivalent,index,9
fc_cwbu_f,fc_cwbu_gf,9
fc_cwbu_gf,qc_fc_cwbu_gf,9
firn,compaction,9
firn,density,9
firn,liquid,9
isotope,addition,9
kelvin,index,9
kg,m3,9
level,time,9
m3,index,9
measurement,level,9
measurements,firn,9
meter,index,9
node,station,9
number.of.node,thaw.depth,9
package,id,9
potential,temperature,9
qc_fc_cwbu_gf,fc_cwbnegu_f,9
qc_fc_cwu_gf,fc_cwbu_f,9
rg_out_f,rlong_f,9
rlong_f,rlong_out_f,9
rlong_out_f,rnet_f,9
role,begin,9
source,bb,9
station,date,9
surname,role,9
swc_2_f,tsoil_2_f,9
temperature,measurements,9
thaw.depth,cm,9
tsoil_2_f,agc,9
vegetation,classification,9
air,content,8
cm,number.of.node,8
column,position,8
concentration,flag,8
date,collected,8
depth,eastward,8
dry,mass,8
ebc,tau_c,8
fc_cwbexpu_f,fc_cwbexpu_gf,8
fc_cwbexpu_gf,qc_fc_cwbexpu_gf,8
firn,air,8
g1_str,g2_str,8
g2_str,swc_1_f,8
g4_f,g1_str,8
hummock,soil,8
lagoon,station,8
pressure,datetime,8
qc_fc_cwbexpu_gf,le_cw_f,8
qc_fc_cwbnegu_gf,fc_cwbexpu_f,8
sampling,priority,8
sampling,season,8
season,date,8
site,viper,8
station,lagoon,8
station,node,8
super,2016,8
swale,soil,8
time,recorded,8
ust,ebc,8
velocity,northward,8
viper,site,8
water,column,8
ammonia,concentration,7
cloud,top,7
collection,method,7
date,latitude,7
g1,t2,7
g2,t3,7
g3,t4,7
g4,t5,7
g5,t6,7
longitude,date,7
sinusoidal,grid,7
site,transect,7
station,latitude,7
t1,g1,7
t2,g2,7
t3,g3,7
t4,g4,7
t5,g5,7
t6,g6,7
top,10,7
2_s,1,6
basin,id,6
carbon,dioxide,6
collected,water,6
concentration,vaisala,6
conductivity,salinity,6
content,decagon,6
depth,cm,6
dioxide,concentration,6
g4_f,swc_1_f,6
ghaas,river,6
microcat,depth,6
microcat,salinity,6
microcat,temperature,6
percent,site,6
ph,date,6
ph,sami,6
pore,space,6
profile,2,6
profile,5,6
profile,6,6
river,basin,6
salinity,microcat,6
scale,vegetation,6
site,treatment,6
slug,test,6
soil,pore,6
soil,water,6
space,carbon,6
surface,temperature,6
temperature,decagon,6
temperature,vaisala,6
thaw,depth,6
unique,identifier,6
ust,tau_c,6
weight,daughter,6
age,ethane,5
block,plot,5
chlorine,concentration,5
co2,date,5
co2,temperature,5
core,identification,5
core,site,5
corrected,acetylene,5
cs616_2,potrad,5
data,flag,5
date,depth,5
delta,15n,5
delta,carbon,5
depth,measured,5
error,ethane,5
error,ice,5
error,solubility,5
ethane,error,5
g6,t7,5
hpa,temperature,5
ice,elevation,5
identification,top,5
method,station,5
modis,cloud,5
nitrite,concentration,5
north,america,5
optical,depth,5
oxygen,18,5
pco2,sami,5
ph,temperature,5
plant,species,5
plot,treatment,5
priority,data,5
profile,1,5
profile,3,5
profile,4,5
qc_fc_cwbnegu_gf,le_cw_f,5
ratio,ethane,5
rg_out_f,rnet_f,5
sami,pco2,5
sample,gas,5
sample,id,5
sea,surface,5
site,date,5
site,top,5
solubility,corrected,5
t7,g7,5
temperature,super,5
test,depth,5
transducer,time,5
um,stdev,5
water,temperature,5
18,isotope,4
2,specific,4
5,cm,4
belowground,material,4
block,fence,4
calcium,concentration,4
ci,ctleaf,4
class,level,4
co2,atmospheric,4
co2,flux,4
co2,system,4
conductance,time,4
corner,coordinates,4
cs616_2,t_surface,4
ctleaf,pari,4
day,tussock,4
depth,date,4
depth,melt,4
depth,o2,4
disc,ringwidth_mm,4
discharge,export,4
dominant,taxa,4
ease,grid,4
ecotype,tussock,4
effective,radius,4
foliar,material,4
layer,thickness,4
level,taxonomic,4
longitude,ghaas,4
longitude,salinity,4
material,collected,4
measurement,soil,4
month,latitude,4
nitrate,nitrite,4
nm,reflectance,4
notes,station,4
o2,sami,4
phosphate,concentration,4
photo,ci,4
pressure,retrieved,4
profile,7,4
profile,8,4
qc_fc_cwu_gf,fc_cwbnegu_f,4
ratio,core,4
reflectance,intensity,4
sbe45,salinity,4
shielding,quartz_g,4
silicate,concentration,4
site,melt,4
sodium,concentration,4
source,ff,4
spidertmt,temptmt,4
standard,deviation,4
sulfur,concentration,4
super,co2,4
swc_2_f,tsoil_2,4
system,sbe45,4
taxa,class,4
taxonomic,rank,4
thickness_cm,shielding,4
thousand,permil,4
top,pressure,4
transducer,date,4
transducer,slug,4
treatment,photo,4
tsoil_2,agc,4
tussock,site,4
tussock,treatment,4
vapor,mixing,4
velocity,date,4
wave,height,4
wave,period,4
wavelength,nm,4
wind,velocity,4
1,rain_mm,3
1,time,3
2,time,3
3,specific,3
3,time,3
4,specific,3
4,time,3
5,specific,3
5,time,3
6,specific,3
6,time,3
7,specific,3
aerosol,optical,3
airtemp_2m_c,rh_2m_,3
atmospheric,pc02,3
background,profile,3
background,specific,3
biomass,carbon,3
brightness_temperature,brightness_temperature,3
calculated,flux,3
carbon,13,3
carbon,14,3
carbon,concentration,3
carbon,percent,3
carbon,total,3
ch4_flux,qc_ch4_flux,3
cloud,phase,3
coarse,scale,3
concentration,nitrate,3
conductivity,temperature,3
content,uncertainty,3
cs616_2,ch4_flux,3
daily,temperature,3
daughter,1,3
daughter,2,3
daughter,3,3
daughter,4,3
daughter,5,3
daughter,6,3
day,hour,3
day,sea,3
delta,13c,3
delta,oxygen,3
deviation,depth,3
down_conn,total_conn,3
east,north,3
fid,zone,3
fine,scale,3
flux,latitude,3
fraction,iodine,3
g7,t8,3
g8,t9,3
gpp_f,qc_gpp,3
hour,minute,3
ice,thickness,3
isotope,delta,3
julian,day,3
land,form,3
layer,depth,3
longitude,elevation,3
longitude,start,3
mass,concentration,3
measuredon_2013,07,3
measurement,date,3
mineral,date,3
mineral,soil,3
month,day,3
nanograms,gram,3
natural,abundance,3
ndvi,t1,3
ndvi,t2,3
pamir,ice,3
pc02,calculated,3
pctlakeare,up_conn,3
perimeter,totallakes,3
ppfd_umols_m,2_s,3
pressure,depth,3
pressure,sea,3
recorded,temperature,3
rh_2m_,ppfd_umols_m,3
salinity,wind,3
sea,pressure,3
site,depth,3
site,identifier,3
snow,accumulation,3
snow,depth,3
specific,conductivity,3
surf_geol,hydconn,3
t_10cm,t_20cm,3
t_20cm,t_40cm,3
t_5cm,t_10cm,3
t1,ndvi,3
t2,ndvi,3
t8,g8,3
t9,g9,3
temperature,standard,3
thickness,ice,3
time,airtemp_2m_c,3
time,block,3
time,tree1_dt_c,3
time,tsurf,3
timestamp,temperature,3
total,dissolved,3
total_conn,surf_geol,3
totallakes,pctlakeare,3
transect,dead,3
transect,live,3
treatment,block,3
tree1_dt_c,tree2_dt_c,3
tree2_dt_c,tree3_dt_c,3
tree3_dt_c,tree4_dt_c,3
tree4_dt_c,tree5_dt_c,3
tree5_dt_c,tree6_dt_c,3
tree6_dt_c,tree7_dt_c,3
tree7_dt_c,tree8_dt_c,3
tree8_dt_c,tree9_dt_c,3
tree9_dt_c,tree10_dt_c,3
tsurf,veast,3
unique,site,3
up_conn,down_conn,3
veast,vnorth,3
zone,catch_id,3
0,liquid,2
0.5x0.5,degrees,2
1,10,2
1,plfa,2
1,specific,2
1,weight,2
10,11851,2
10,wave,2
10.5194,acp,2
1000,hpa,2
10be_9be_ratio,10be_9be_ratio_uncertainty,2
10be_9be_ratio_uncertainty,blank_corrected_10be_concentration,2
11851,2010,2
13co2,14co2,2
14co2,plfa,2
15n,delta,2
2,cf_tl1_,2
2,isotope,2
2,plfa_14c,2
2,sg_sg2_,2
2,tl_tl2_,2
2,weight,2
223,signal,2
250,ice,2
3,weight,2
4,weight,2
5,weight,2
550,nm,2
6,weight,2
7,time,2
700,hpa,2
8,specific,2
850,hpa,2
absolute,pressure,2
abundance,delta,2
acid,concentration,2
acp,10,2
active,radiation,2
adjusted,thickness,2
agc_closed,pressdrop,2
age_ka,age_uncertainty,2
age_uncertainty,ams_facility,2
al,2010,2
alk_ueql,pco2_uatm,2
alkalinity,pco2,2
ammonium,concentration,2
ammonium,nitrate,2
ammonium,um,2
atmospheric,pco2,2
availability,total,2
average,natural,2
average,wave,2
avsoilmoisture,block,2
baseflow,month,2
bd,cm,2
bed,elevation,2
benthic,sediment,2
billion,mass,2
billion,nanograms,2
biomass,burning,2
biomass,wet,2
black,carbon,2
block,site,2
bn,rc,2
bromine,concentration,2
bromine,mole,2
ca_um,mg_um,2
carbon,latitude,2
cb,pf,2
ce,adjusted,2
ch4,flux,2
ch4_flux,ch4_flux_f,2
ch4_flux_gf,ch4_flux_gf_qc,2
ch4_flux_gf_qc,rssi,2
ch4_um,doc_um,2
chlorine,mole,2
chloroform,fumigated,2
classification,1979,2
classification,2015,2
classification,unique,2
cloud,droplets,2
cloud,liquid,2
cloud,optical,2
cm,dbh,2
cm,depth,2
co2,13co2,2
co2,alkalinity,2
co2,efflux,2
co2_dry,h2o_dry,2
co2_um,ch4_um,2
column,latitude,2
concentration,calcium,2
concentration,chlorine,2
concentration,collection,2
concentration,magnesium,2
concentration,oxygen,2
concentration,ph,2
concentration,phosphate,2
concentration,silicate,2
concentration,sodium,2
concentration,sulfur,2
cond_us,ph,2
conduct,salinity,2
conductivity,density,2
content,top,2
control,flag,2
coordinates,lower,2
core,black,2
core,corrected,2
corrected,intensity,2
correction,pht,2
correction,total,2
ct,pb,2
cumulative,discharge,2
current,heading,2
current,speed,2
date,icethickness,2
date,river,2
date,time_hr_dst,2
date,tree,2
day,plot,2
day,site,2
day,super,2
days,ammonium,2
dbh,cm,2
dd14cplfa,co2,2
decimal,day,2
decimal,format,2
degrees,cell,2
degrees,minutes,2
delta,deuterium,2
density,anomaly,2
depth,co2,2
depth,density,2
depth,ice,2
depth,increment,2
depth,incubated,2
depth,land,2
depth,length,2
depth,retrieved,2
depth,sami,2
depth,soil,2
depth,time,2
depth,water,2
depth_m,distance_km,2
details,doi,2
deuterium,excess,2
deuterium,hydrogen,2
dissolved,nitrogen,2
distance_km,elevation_m,2
doc_um,nh4_opa_um,2
doi,10.5194,2
dried,foliar,2
droplets,retrieved,2
dry,biomass,2
east,asia,2
easting,latitude,2
ecotype,treatment,2
elevation,1,2
elevation,data,2
elevation,horizontal,2
elevation_m,temp_c,2
elevation_m,thickness_cm,2
elevation_m_asl,thickness_cm,2
equator,column,2
equilibrator,pco2,2
equivalent,date,2
equivalent,meters,2
export,ease,2
export,river,2
fc_cwbu_gf,co2_dry,2
feature,type,2
fence,vegetation,2
flag,station,2
flux,replicate,2
form,timestamp,2
format,measured,2
fraction,bromine,2
fraction,modern,2
fumigated,soil,2
g6,ndvi,2
garden,ecotype,2
garden,source,2
glacier,terminus,2
grain,size,2
gram,ug,2
grid,column,2
grid,considered,2
grid,row,2
h2o_dry,agc_closed,2
heading,northward,2
horizontal,precision,2
hydconn,fid,2
hydrogen,2,2
hydrogen,peroxide,2
ice,pixels,2
icethickness,snowdepth,2
id,basin,2
id,date,2
id,latitude,2
identifier,local,2
identifier,native,2
increment,sample,2
incubation,temperature,2
industry,aod,2
insoluble,particle,2
intensity,thickness,2
intensity,uncertianty,2
intertussock,date,2
iodine,mole,2
isotope,d18o,2
isotope,ratio,2
kg,surface,2
latitude,time,2
layer,intensity,2
left,corner,2
length,width,2
line,elevation,2
line,latitude,2
line,longitude,2
liquid,pixels,2
literal,meaning,2
local,identifier,2
longitude,baseflow,2
longitude,co2,2
longitude,elevation_m,2
longitude,runoff,2
longitude,snow,2
longitude,soil,2
lower,depth,2
lp,vu,2
magnesium,concentration,2
mass,measured,2
material,twenty,2
maximum,ice,2
maximum,wave,2
meters,density,2
mg_um,na_um,2
microbial,biomass,2
micromoles,ammonium,2
micromoles,insoluble,2
micromoles,nitrate,2
na,mg,2
na_um,k_um,2
nh4_opa_um,po4_um,2
nitrate,concentrations,2
nitrate,phosphate,2
nitrate,um,2
nitric,acid,2
nitrite,um,2
nitrogen,collection,2
nitrogen,percent,2
no3_um,tdn_um,2
north,east,2
north,west,2
northing,easting,2
observation,date,2
organic,layer,2
organic,nitrogen_1,2
organic,nitrogen_10,2
organic,nitrogen_11,2
organic,nitrogen_12,2
organic,nitrogen_2,2
organic,nitrogen_3,2
organic,nitrogen_4,2
organic,nitrogen_5,2
organic,nitrogen_6,2
organic,nitrogen_7,2
organic,nitrogen_8,2
organic,nitrogen_9,2
oxygen,isotope,2
oxygen,saturation,2
par,dist_corr,2
particle,concentration,2
path,cloud,2
pb,cb,2
pc_ugl,pn_ugl,2
pch4_uatm,co2_um,2
pco2,equilibrator,2
pco2_uatm,pch4_uatm,2
permil,delta,2
permil,sodium,2
peroxide,concentration,2
pf,en,2
ph,alk_ueql,2
phosphate,um,2
phosphorus,percent,2
pht,ω_calcite,2
pigment,concentration,2
plfa,1,2
plfa,2,2
plfa,sample,2
plfa_14c,dd14cplfa,2
plot,block,2
plot,loc,2
plot,replicate,2
plot,trt,2
pn_ugl,pp_um,2
po4_um,no3_um,2
pop,warmed,2
population,warming,2
position,chlorophyll,2
position,delta,2
position,dissolved,2
pp_um,ca_um,2
precision,notes,2
precision,vertical,2
pres,temp,2
pressdrop,pumponflag,2
priority,station,2
profile,background,2
pumponflag,vibonflag,2
qc_ch4_flux,rssi,2
qc_ta_gf,tsoil_1_f,2
qc_tsoil_1_gf,pa_1,2
quality,control,2
ratio,d18o,2
rc,ct,2
replicate,treatment,2
river,cumulative,2
river,discharge,2
root,biomass,2
row,ease,2
rssi,potrad,2
runoff,month,2
salinity,depth,2
salinity,pco2,2
salinity,ship's,2
salinity,temperature,2
