word1,word2,n,unique_ids,unique_authors
short,cloudphasemask,15,15,1
short,cloudretrievalmask,15,15,1
short,instruments,15,15,1
temperature,conductivity,15,3,2
time,double,15,15,1
time,height,15,1,1
time,offset,15,15,1
water,content,15,2,2
agc,co2,14,14,1
albedo_f,ws_1,14,14,1
co2,albedo_f,14,14,1
doy,hour,14,14,1
e_0,r_ref,14,14,1
fc,fc_freqr,14,14,1
fc_cw,qc_fc_cw,14,14,1
fc_cwu_f,fc_cwu_gf,14,14,1
fc_cwu_gf,qc_fc_cwu_gf,14,14,1
fc_freqr,rg_f,14,14,1
fp_neenight,fp_temp,14,14,1
fp_temp,e_0,14,14,1
g1_f,g2_f,14,14,1
g2_f,g3_f,14,14,1
g3_f,g4_f,14,14,1
gpp,gpp_f,14,14,1
h_c_f,qc_h_c_f,14,14,1
h_c_gf,qc_h_c_gf,14,14,1
h_freqr,le,14,14,1
hour,fc_cw,14,14,1
le,le_freqr,14,14,1
le_cw_f,qc_le_cw_f,14,14,1
le_cw_gf,qc_le_cw_gf,14,14,1
le_freqr,fc,14,14,1
pa_1,rg_out_f,14,14,1
par_f,par_out_f,14,14,1
par_out_f,precip,14,14,1
photosynthetically,active,14,3,3
potrad,fp_neenight,14,14,1
qc_fc_cw,fc_cwu_f,14,14,1
qc_h_c_f,h_c_gf,14,14,1
qc_h_c_gf,ust,14,14,1
qc_le_cw_f,le_cw_gf,14,14,1
qc_le_cw_gf,h_c_f,14,14,1
qc_rg_gf,vpd_f,14,14,1
qc_rh_gf,ta_f,14,14,1
qc_tau_c,tau,14,14,1
qc_vpd_gf,rh_f,14,14,1
r_ref,reco,14,14,1
reco,reco_f,14,14,1
reco_f,gpp,14,14,1
rg_gf,qc_rg_gf,14,14,1
rh_gf,qc_rh_gf,14,14,1
rnet_f,par_f,14,14,1
salinity,pressure,14,3,2
swc_1_f,swc_2_f,14,14,1
ta_gf,qc_ta_gf,14,14,1
tau,tau_freqr,14,14,1
tau_c,qc_tau_c,14,14,1
vpd_gf,qc_vpd_gf,14,14,1
water,equivalent,14,5,5
ws_1,wd,14,14,1
core,depth,13,4,4
fc_cwbnegu_f,fc_cwbnegu_gf,13,13,1
fc_cwbnegu_gf,qc_fc_cwbnegu_gf,13,13,1
precip,snowd_f,13,13,1
radiation,air,13,13,2
radiation,net,13,13,2
snowd_f,g1_f,13,13,1
albedo,total,12,12,1
battery,voltage,12,12,1
body,temperature,12,12,1
cm,corrected,12,12,1
corrected,tram,12,12,1
count,normalized,12,12,1
cs616_1,cs616_2,12,12,1
datalogger,panel,12,12,1
decagon,probe,12,1,1
depth,utm,12,1,1
detector,sensor,12,12,1
detrital,particulate,12,1,1
downwelling,wave,12,12,1
easting,utm,12,1,1
gram,ng,12,1,1
habitat,type,12,9,1
index,standardized,12,12,1
index,tram,12,12,1
infrared,detector,12,12,1
mv,output,12,12,1
net,radiation,12,12,1
net,short,12,12,1
northing,depth,12,1,1
panel,temperature,12,12,1
particulate,organic,12,1,1
qc_ta_gf,tsoil_f,12,12,1
qc_tsoil_gf,pa_1,12,12,1
radiation,albedo,12,12,1
radiation,cnr4,12,12,1
radiation,upwelling,12,12,1
rotation,count,12,12,1
sensor,body,12,12,1
speed,downwelling,12,12,1
speed,net,12,12,1
standardized,normalized,12,12,1
target,temperature,12,12,1
temperature,microcat,12,2,1
temperature,mv,12,12,1
temperature,time,12,12,1
thermopile,infrared,12,12,1
time,record,12,12,1
top,depth,12,2,2
total,net,12,12,1
transect,cm,12,12,1
transect,file,12,12,1
tsoil_f,tsoil_gf,12,12,1
tsoil_gf,qc_tsoil_gf,12,12,1
upwelling,short,12,12,1
utm,easting,12,1,1
utm,northing,12,1,1
vaisala,probe,12,1,1
voltage,datalogger,12,12,1
wd,cs616_1,12,12,1
wheel,rotation,12,12,1
conductance,profile,11,1,1
gpp_f,gpp_fqc,11,11,1
liquid,water,11,3,2
longitude,habitat,11,8,1
organic,carbon,11,9,7
time,sami,11,2,1
bottom,depth,10,1,1
depth,bottom,10,1,1
depth,gas,10,1,1
eastward,velocity,10,2,2
melt,layer,10,2,2
meter,water,10,2,2
northward,velocity,10,2,2
ratio,acetylene,10,1,1
ratio,error,10,1,1
sami,co2,10,2,1
site,plot,10,10,4
temperature,measurement,10,2,2
type,station,10,7,1
conductivity,potential,9,1,1
data,package,9,9,1
date,day,9,6,2
datetime,temperature,9,1,1
equivalent,index,9,1,1
