"identifier","word"
"doi:10.18739/A2688T","cryosphere"
"doi:10.18739/A2688T","snow"
"doi:10.18739/A2688T","ice"
"doi:10.18739/A2688T","snow"
"doi:10.18739/A2688T","cover"
"doi:10.18739/A2688T","earth"
"doi:10.18739/A2688T","science"
"doi:10.18739/A2688T","cryosphere"
"doi:10.18739/A2688T","snow"
"doi:10.18739/A2688T","ice"
"doi:10.18739/A2688T","snow"
"doi:10.18739/A2688T","melt"
"doi:10.18739/A2688T","earth"
"doi:10.18739/A2688T","remote"
"doi:10.18739/A2688T","sensing"
"doi:10.18739/A2688T","instruments"
"doi:10.18739/A2688T","passive"
"doi:10.18739/A2688T","remote"
"doi:10.18739/A2688T","sensing"
"doi:10.18739/A2688T","photon"
"doi:10.18739/A2688T","optical"
"doi:10.18739/A2688T","detectors"
"doi:10.18739/A2688T","cameras"
"doi:10.18739/A2688T","cameras"
"doi:10.18739/A2688T","other"
"doi:10.18739/A2688T","climatologymeteorologyatmosphere"
"doi:10.18739/A2688T","environment"
"doi:10.18739/A2C090","ambient"
"doi:10.18739/A2C090","noise"
"doi:10.18739/A2C090","hydrophone"
"doi:10.18739/A2C090","mooring"
"doi:10.18739/A2RN30687","earth"
"doi:10.18739/A2RN30687","science"
"doi:10.18739/A2RN30687","cryosphere"
"doi:10.18739/A2RN30687","glaciers"
"doi:10.18739/A2RN30687","ice"
"doi:10.18739/A2RN30687","sheets"
"doi:10.18739/A2RN30687","glaciers"
"doi:10.18739/A2RN30687","earth"
"doi:10.18739/A2RN30687","remote"
"doi:10.18739/A2RN30687","sensing"
"doi:10.18739/A2RN30687","instruments"
"doi:10.18739/A2RN30687","passive"
"doi:10.18739/A2RN30687","remote"
"doi:10.18739/A2RN30687","sensing"
"doi:10.18739/A2RN30687","photon"
"doi:10.18739/A2RN30687","optical"
"doi:10.18739/A2RN30687","detectors"
"doi:10.18739/A2RN30687","cameras"
"doi:10.18739/A2RN30687","video"
"doi:10.18739/A2RN30687","camera"
"doi:10.18739/A2RN30687","aircraft"
"doi:10.18739/A2RN30687","geoscientificinformation"
"doi:10.5065/D6VD6WMX","meteorological"
"doi:10.5065/D6VD6WMX","tower"
"doi:10.5065/D6VD6WMX","arctic"
"doi:10.5065/D6VD6WMX","surface"
"doi:10.18739/A2VM42X50","lake"
"doi:10.18739/A2VM42X50","ice"
"doi:10.18739/A2VM42X50","freshwater"
"doi:10.18739/A2VM42X50","arctic"
"doi:10.18739/A2VM42X50","alaska"
"doi:10.5065/D6B27SG5","arctic"
"doi:10.5065/D6B27SG5","surface"
"urn:uuid:9a9122ee-c673-423e-8d0c-09e7aae6c6fd",NA
"doi:10.18739/A27P8TD2J","mammal"
"doi:10.18739/A27P8TD2J","cetaceans"
"doi:10.18739/A27P8TD2J","seals"
"doi:10.18739/A27P8TD2J","sea"
"doi:10.18739/A27P8TD2J","lions"
"doi:10.18739/A27P8TD2J","walruses"
"doi:10.18739/A27P8TD2J","bears"
"doi:10.18739/A27P8TD2J","alaska"
"doi:10.18739/A27P8TD2J","bering"
"doi:10.18739/A27P8TD2J","sea"
"doi:10.18739/A27P8TD2J","chukchi"
"doi:10.18739/A27P8TD2J","sea"
"doi:10.18739/A27P8TD2J","beaufort"
"doi:10.18739/A27P8TD2J","sea"
"doi:10.18739/A27P8TD2J","dbo"
"doi:10.18739/A27P8TD2J","distributed"
"doi:10.18739/A27P8TD2J","biological"
"doi:10.18739/A27P8TD2J","observatory"
"doi:10.18739/A27P8TD2J","arctic"
"doi:10.18739/A27P8TD2J","ocean"
"doi:10.18739/A2J297","earth"
"doi:10.18739/A2J297","science"
"doi:10.18739/A2J297","atmosphere"
"doi:10.18739/A2J297","atmospheric"
"doi:10.18739/A2J297","pressure"
"doi:10.18739/A2J297","gravity"
"doi:10.18739/A2J297","wave"
"doi:10.18739/A2J297","earth"
"doi:10.18739/A2J297","remote"
"doi:10.18739/A2J297","sensing"
"doi:10.18739/A2J297","instruments"
"doi:10.18739/A2J297","passive"
"doi:10.18739/A2J297","remote"
"doi:10.18739/A2J297","sensing"
"doi:10.18739/A2J297","photon"
"doi:10.18739/A2J297","optical"
"doi:10.18739/A2J297","detectors"
"doi:10.18739/A2J297","cameras"
"doi:10.18739/A2J297","asc"
"doi:10.18739/A2J297","all"
"doi:10.18739/A2J297","sky"
