word1,word2,n
simpson,lagoon,7
size,total,7
snow,water,7
soil,carbon,7
soil,erosion,7
soil,sampler,7
soils,nitrogen,7
soils,organic,7
special,sensor,7
ssmi,special,7
station,30,7
station,arctic,7
station,transect,7
stratigraphic,sequence,7
surface,sediment,7
temperature,indices,7
vegetation,earth,7
water,equivalent,7
water,surface,7
winds,turbulence,7
acoustic,scattering,6
aerosols,dust,6
aerosols,sulfate,6
agriculture,animal,6
agriculture,forest,6
air,earth,6
air,quality,6
aircraft,station,6
anemometer,earth,6
arctic,boundary,6
arctic,geoscientificinformation,6
arctic,observing,6
arctic,soil,6
ash,smoke,6
atlantic,water,6
atmosphere,air,6
beaufort,shelf,6
biological,records,6
biospheric,indicators,6
borehole,alaska,6
boundary,current,6
buoy,oceanography,6
cameras,aircraft,6
climate,index,6
common,sense,6
core,greenland,6
corers,field,6
correlation,devices,6
cover,land,6
ctd,data,6
daily,biota,6
daily,environment,6
dbo,ctd,6
dbo,dbo6,6
dbo6,ctd,6
decadal,biota,6
decadal,environment,6
dissolved,inorganic,6
dust,ash,6
ecosystems,pelagic,6
environment,geoscientificinformation,6
fire,models,6
fire,science,6
fluorescence,earth,6
flux,earth,6
food,webs,6
forest,science,6
freshwater,runoff,6
functions,nutrient,6
functions,respiration,6
geochemical,properties,6
geoscientificinformation,location,6
glacial,measurements,6
gpr,ground,6
grazing,dynamics,6
greenland,antarctica,6
hydrosphere,ground,6
index,automatic,6
indicators,biological,6
indicators,biospheric,6
indicators,freshwater,6
indicators,glacial,6
indicators,soil,6
indices,common,6
iss,arctic,6
lagoon,kaktovik,6
lagoon,mayoeak,6
landscape,patterns,6
landscape,processes,6
larch,larix,6
leconte,glacier,6
macroinfauna,sediment,6
marine,spatial,6
meters,eddy,6
meters,sonic,6
meters,surveying,6
nabos,ii,6
nutrient,cycling,6
observing,network,6
oceanography,models,6
optics,fluorescence,6
orbiters,arctic,6
oscillation,earth,6
paleoclimate,paleoclimate,6
patterns,earth,6
peatlands,earth,6
pelagic,habitat,6
permafrost,thermokarst,6
pigments,chlorophyll,6
plants,earth,6
processes,sediment,6
properties,hourly,6
radarsat,arctic,6
radiometers,manned,6
ranging,field,6
rate,earth,6
reclamation,revegetation,6
records,isotopes,6
respiration,rate,6
restoration,earth,6
revegetation,restoration,6
river,discharge,6
river,sagavanirktok,6
river,simpson,6
roughness,earth,6
sagavanirktok,river,6
satellite,radarsat,6
science,forest,6
sediment,abundance,6
sense,climate,6
services,data,6
sheet,motion,6
ship,ecology,6
ship,mooring,6
smoke,earth,6
sonar,sound,6
sonic,anemometer,6
sound,navigation,6
sound,utqiagvik,6
sounders,ozonesondes,6
sounders,sonar,6
sounding,climatologymeteorologyatmosphere,6
spatial,planning,6
spectrometers,hourly,6
station,biota,6
station,climatologymeteorologyatmosphere,6
station,image,6
sulfate,particles,6
surface,biota,6
surface,energy,6
survey,geoscientificinformation,6
survey,weekly,6
surveying,tools,6
system,mooring,6
tem,model,6
thermistors,mooring,6
tidewater,glacier,6
tree,growth,6
tundra,boreal,6
turbulence,earth,6
utqiagvik,beaufort,6
vegetation,tree,6
water,column,6
weekly,inlandwaters,6
130,arctic,5
accumulation,alaska,5
acidic,tundra,5
acoustics,acoustic,5
advection,earth,5
aerosols,nitrate,5
agricultural,plant,5
agriculture,agricultural,5
agriculture,production,5
aircraft,arctic,5
alaska,mass,5
alaska,tundra,5
analyses,ecology,5
analyzer,arctic,5
analyzers,earth,5
aon,western,5
archaeology,viking,5
arctic,streams,5
behavior,earth,5
benthic,food,5
betula,nana,5
biomass,distributed,5
budget,advection,5
buoy,automatic,5
cameras,manned,5
camp,station,5
carbon,monoxide,5
carbonaceous,aerosols,5
charcoal,sediment,5
chromatographs,field,5
circulation,thermohaline,5
content,grid,5
conversion,fragmentation,5
cover,alpine,5
ctd,dbo5,5
cycles,earth,5
delineation,marine,5
depth,land,5
dimensions,habitat,5
dimensions,sustainability,5
divisions,earth,5
drilling,platform,5
eastern,eurasian,5
ecosystems,dunes,5
ecosystems,earth,5
ecosystems,marine,5
energy,budget,5
exchange,carbon,5
experiment,atwain,5
extreme,weather,5
fire,history,5
firn,aquifer,5
fluxes,eddy,5
gas,analyzer,5
gas,sensors,5
gelbstoff,earth,5
geoscientificinformation,oceans,5
glacier,facies,5
glacier,motion,5
ground,earth,5
habitat,conversion,5
habitat,delineation,5
hazards,severe,5
history,charcoal,5
hour,environment,5
