"","identifier","word1","word2","word3"
"172","doi:10.18739/A2000014J","waccm","arctic","sea"
"173","doi:10.18739/A2000014J","arctic","sea","ice"
"174","doi:10.18739/A2000014J","sea","ice","seasonal"
"175","doi:10.18739/A2000014J","ice","seasonal","transition"
"176","doi:10.18739/A2000014J","seasonal","transition","periods"
"177","doi:10.18739/A2000014J","transition","periods","1979"
"178","doi:10.18739/A2000014J","periods","1979","2013"
"179","doi:10.18739/A2000014J","1979","2013","nc"
"180","doi:10.18739/A2000014J","2013","nc","cesm2"
"181","doi:10.18739/A2000014J","nc","cesm2","waccm"
"182","doi:10.18739/A2000014J","cesm2","waccm","fv2"
"183","doi:10.18739/A2000014J","waccm","fv2","arctic"
"184","doi:10.18739/A2000014J","fv2","arctic","sea"
"185","doi:10.18739/A2000014J","arctic","sea","ice"
"186","doi:10.18739/A2000014J","sea","ice","seasonal"
"187","doi:10.18739/A2000014J","ice","seasonal","transition"
"188","doi:10.18739/A2000014J","seasonal","transition","dates"
"189","doi:10.18739/A2000014J","transition","dates","1979"
"190","doi:10.18739/A2000014J","dates","1979","2013"
"191","doi:10.18739/A2000014J","1979","2013","nc"
"192","doi:10.18739/A2000014J","2013","nc","cesm2"
"193","doi:10.18739/A2000014J","nc","cesm2","waccm"
"194","doi:10.18739/A2000014J","cesm2","waccm","fv2"
"195","doi:10.18739/A2000014J","waccm","fv2","arctic"
"196","doi:10.18739/A2000014J","fv2","arctic","sea"
"197","doi:10.18739/A2000014J","arctic","sea","ice"
"198","doi:10.18739/A2000014J","sea","ice","seasonal"
"199","doi:10.18739/A2000014J","ice","seasonal","transition"
"200","doi:10.18739/A2000014J","seasonal","transition","periods"
"201","doi:10.18739/A2000014J","transition","periods","1979"
"202","doi:10.18739/A2000014J","periods","1979","2013"
"203","doi:10.18739/A2000014J","1979","2013","nc"
"204","doi:10.18739/A2000014J","2013","nc","cnrm"
"205","doi:10.18739/A2000014J","nc","cnrm","cm6"
"206","doi:10.18739/A2000014J","cnrm","cm6","1"
"207","doi:10.18739/A2000014J","cm6","1","arctic"
"208","doi:10.18739/A2000014J","1","arctic","sea"
"209","doi:10.18739/A2000014J","arctic","sea","ice"
"210","doi:10.18739/A2000014J","sea","ice","seasonal"
"211","doi:10.18739/A2000014J","ice","seasonal","transition"
"212","doi:10.18739/A2000014J","seasonal","transition","dates"
"213","doi:10.18739/A2000014J","transition","dates","1979"
"214","doi:10.18739/A2000014J","dates","1979","2013"
"215","doi:10.18739/A2000014J","1979","2013","nc"
"216","doi:10.18739/A2000014J","2013","nc","cnrm"
"217","doi:10.18739/A2000014J","nc","cnrm","cm6"
"218","doi:10.18739/A2000014J","cnrm","cm6","1"
"219","doi:10.18739/A2000014J","cm6","1","arctic"
"220","doi:10.18739/A2000014J","1","arctic","sea"
"221","doi:10.18739/A2000014J","arctic","sea","ice"
"222","doi:10.18739/A2000014J","sea","ice","seasonal"
"223","doi:10.18739/A2000014J","ice","seasonal","transition"
"224","doi:10.18739/A2000014J","seasonal","transition","periods"
"225","doi:10.18739/A2000014J","transition","periods","1979"
"226","doi:10.18739/A2000014J","periods","1979","2013"
"227","doi:10.18739/A2000014J","1979","2013","nc"
"228","doi:10.18739/A2000014J","2013","nc","cnrm"
